"","country","year","onset","instab","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","polity2l","ethfrac","relfrac"
"3409","CAMEROON",1967,0,0,0,0.675999999046326,8.69198608398438,2.92852354049683,0,0,0,-7,0.891898572444916,0.639999985694885
"3410","CAMEROON",1968,0,0,0,0.740000009536743,8.71407508850098,2.92852354049683,0,0,0,-7,0.891898572444916,0.639999985694885
"3411","CAMEROON",1969,0,0,0,0.785000026226044,8.73632907867432,2.92852354049683,0,0,0,-7,0.891898572444916,0.639999985694885
"3412","CAMEROON",1970,0,0,0,0.808000028133392,8.75841236114502,2.92852354049683,0,0,0,-7,0.891898572444916,0.639999985694885
"3413","CAMEROON",1971,0,0,0,0.80400002002716,8.78048038482666,2.92852354049683,0,0,0,-7,0.891898572444916,0.639999985694885
"3414","CAMEROON",1972,0,0,0,0.810999989509583,8.80447483062744,2.92852354049683,0,0,0,-7,0.891898572444916,0.639999985694885
"3415","CAMEROON",1973,0,0,0,0.814999997615814,8.82995796203613,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3416","CAMEROON",1974,0,0,0,0.8299999833107,8.85680294036865,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3417","CAMEROON",1975,0,0,0,0.90200001001358,8.88502597808838,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3418","CAMEROON",1976,0,0,0,0.859000027179718,8.91449165344238,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3419","CAMEROON",1977,0,0,0,0.888000011444092,8.9452018737793,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3420","CAMEROON",1978,0,0,0,0.893999993801117,8.97727298736572,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3421","CAMEROON",1979,0,0,0,0.972000002861023,9.00981426239014,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3422","CAMEROON",1980,0,0,0,1.07200002670288,9.0413293838501,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3423","CAMEROON",1981,0,0,0,1.19400000572205,9.07119369506836,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3424","CAMEROON",1982,0,0,0,1.29400002956390,9.09985542297363,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3425","CAMEROON",1983,0,0,0,1.28100001811981,9.12750244140625,2.92852354049683,0,1,0,-7,0.891898572444916,0.639999985694885
"3426","CAMEROON",1984,0,0,0,1.34200000762939,9.15451049804688,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3427","CAMEROON",1985,0,0,0,1.40299999713898,9.18091201782227,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3428","CAMEROON",1986,0,0,0,1.48699998855591,9.20723533630371,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3429","CAMEROON",1987,0,0,0,1.49899995326996,9.23444747924805,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3430","CAMEROON",1988,0,0,0,1.43900001049042,9.26255321502686,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3431","CAMEROON",1989,0,0,0,1.33000004291534,9.29155158996582,2.92852354049683,0,0,0,-8,0.891898572444916,0.639999985694885
"3432","CAMEROON",1990,0,0,0,1.36099994182587,9.3214340209961,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3433","CAMEROON",1991,0,0,0,1.22599995136261,9.35218715667725,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3434","CAMEROON",1992,0,0,0,1.11000001430511,9.3826961517334,2.92852354049683,0,1,0,-8,0.891898572444916,0.639999985694885
"3435","CAMEROON",1993,0,1,0,1.02900004386902,9.41262817382813,2.92852354049683,0,1,0,-4,0.891898572444916,0.639999985694885
"3436","CAMEROON",1994,0,1,0,0.968999981880188,9.43119525909424,2.92852354049683,0,1,0,-4,0.891898572444916,0.639999985694885
"3437","CAMEROON",1995,0,1,0,0.919000029563904,9.45892906188965,2.92852354049683,0,0,0,-4,0.891898572444916,0.639999985694885
"3438","CAMEROON",1996,0,0,0,0.92299997806549,9.4866075515747,2.92852354049683,0,0,0,-4,0.891898572444916,0.639999985694885
"3439","CAMEROON",1997,0,0,0,0.94300001859665,9.5143756866455,2.92852354049683,0,0,0,-4,0.891898572444916,0.639999985694885
"3440","CAMEROON",1998,0,0,0,0.964999973773956,9.54223442077637,2.92852354049683,0,0,0,-4,0.891898572444916,0.639999985694885
"3441","CAMEROON",1999,0,0,0,0.986000001430511,9.57018280029297,2.92852354049683,0,0,0,-4,0.891898572444916,0.639999985694885
"3442","NIGERIA",1960,0,0,0,0.566999971866608,10.8511800765991,1.22377550601959,0,0,1,8,0.868931770324707,0.580000042915344
"3443","NIGERIA",1961,0,0,0,0.566999971866608,10.8511800765991,1.22377550601959,0,0,1,8,0.868931770324707,0.580000042915344
"3444","NIGERIA",1962,0,0,0,0.550999999046326,10.8765172958374,1.22377550601959,0,0,0,8,0.868931770324707,0.580000042915344
"3445","NIGERIA",1963,0,0,0,0.552999973297119,10.9018373489380,1.22377550601959,0,0,0,8,0.868931770324707,0.580000042915344
"3446","NIGERIA",1964,0,0,0,0.582000017166138,10.9272327423096,1.22377550601959,0,0,0,8,0.868931770324707,0.580000042915344
"3447","NIGERIA",1965,0,0,0,0.606000006198883,10.9518938064575,1.22377550601959,0,0,0,7,0.868931770324707,0.580000042915344
"3448","NIGERIA",1966,0,0,0,0.624000012874603,10.9766454696655,1.22377550601959,0,0,0,7,0.868931770324707,0.580000042915344
"3449","NIGERIA",1967,1,1,0,0.582000017166138,11.0013332366943,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3450","NIGERIA",1968,0,1,1,0.485000014305115,11.0259790420532,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3451","NIGERIA",1969,0,1,1,0.48199999332428,11.0507631301880,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3452","NIGERIA",1970,0,0,1,0.625,11.0754585266113,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3453","NIGERIA",1971,0,0,1,0.767000019550323,11.1001634597778,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3454","NIGERIA",1972,0,0,0,1.05499994754791,10.9096374511719,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3455","NIGERIA",1973,0,0,0,1.00199997425079,10.9373655319214,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3456","NIGERIA",1974,0,0,0,1.06799995899200,10.9653491973877,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
"3457","NIGERIA",1975,0,0,0,1.19200003147125,10.9937314987183,1.22377550601959,0,1,0,-7,0.868931770324707,0.580000042915344
